Event ID,Event Type,Name,Date,Time,VIP Price,Gold Price,Silver Price,Bronze Price,General Admission Price,Venue Name,Pct Seats Unavailable,Venue Type,Capacity,Cost,VIP Pct,Gold Pct,Silver Pct,Bronze Pct,General Adminission Pct,Reserved Extra Pct,Fireworks,Fireworks Cost,VIP Seats Sold,Gold Seats Sold,Silver Seats Sold,Bronze Seats Sold,General Admission Seats Sold,Total VIP Revenue,Total Gold Revenue,Total Silver Revenue,Total Bronze Revenue,Total General Admission Revenue
51,Concert,UTEP Wind Symphony 7,4/16/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-39378.80,45.0,20.0,15.0,10.0,5.0,5,No,0,12,18,26,29,26,502.56,483.84,617.50,453.27,162.50
52,Concert,UTEP Wind Symphony 8,3/3/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-24331.61,45.0,20.0,15.0,10.0,5.0,5,No,0,21,10,33,10,17,879.48,268.80,783.75,156.30,106.25
53,Concert,UTEP Wind Symphony 9,3/28/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-25180.27,45.0,20.0,15.0,10.0,5.0,5,No,0,6,31,16,17,25,251.28,833.28,380.00,265.71,156.25
54,Concert,UTEP Wind Symphony 10,4/4/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-71557.13,45.0,20.0,15.0,10.0,5.0,5,No,0,44,20,15,24,37,1842.72,537.60,356.25,375.12,231.25
55,Concert,UTEP Wind Symphony 11,10/4/2025,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-40236.57,45.0,20.0,15.0,10.0,5.0,5,No,0,35,4,28,20,29,1465.80,107.52,665.00,312.60,181.25
56,Concert,UTEP Wind Symphony 12,3/22/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-21542.15,45.0,20.0,15.0,10.0,5.0,5,No,0,19,15,22,14,17,795.72,403.20,522.50,218.82,106.25
57,Concert,Taylor Swift Live,3/23/2026,8:00 PM,5396.56,3570.03,3154.91,2075.6,830.24,Sun Bowl Stadium,0,Stadium,64000,749470.65,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,0,2,0.00,0.00,0.00,0.00,1660.48
58,Concert,Drake Live,3/28/2026,8:30 PM,6299.54,4167.39,3682.81,2422.9,969.16,Don Haskins Center,0,Arena,14000,154581.62,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,1,1,0,0.00,0.00,3682.81,2422.90,0.00
59,Concert,Bad Bunny Live,11/11/2025,8:00 PM,6319.69,4180.72,3694.59,2430.65,972.26,Don Haskins Center,0,Arena,14000,164500.00,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
60,Concert,Karol G Live,4/29/2026,8:00 PM,5201.43,3440.95,3040.84,2000.55,800.22,Sun Bowl Stadium,0,Stadium,64000,1743025.37,45.0,20.0,15.0,10.0,5.0,5,Yes,1024282.0,0,0,0,4,2,0.00,0.00,0.00,8002.20,1600.44
61,Concert,RBD Live,2/18/2026,7:15 PM,5689.39,3763.75,3326.1,2188.23,875.29,Don Haskins Center,0,Arena,14000,152255.01,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,1,0,4,0.00,0.00,3326.10,0.00,3501.16
62,Concert,Olivia Rodrigo Live,5/26/2026,8:00 PM,5507.71,3643.56,3219.89,2118.35,847.34,Don Haskins Center,0,Arena,14000,124139.71,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,4,7,0.00,0.00,0.00,8473.40,5931.38
63,Concert,Shakira Live,3/18/2026,8:00 PM,5506.06,3533.74,3122.84,2054.5,821.8,Sun Bowl Stadium,0,Stadium,64000,749917.32,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,1,0,0.00,0.00,0.00,2054.50,0.00
64,Concert,Justin Timberlake Live,5/2/2026,8:00 PM,6121.39,3928.65,3471.83,2284.1,913.64,Sun Bowl Stadium,0,Stadium,64000,749222.32,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,0,3,0.00,0.00,0.00,0.00,2740.92
65,Festival,Coachella 1,2/8/2026,9:00 AM,3350.0,2150.0,1900.0,1250.0,500.0,San Jacinto Plaza,0,Open Air,15000,174217.50,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,0,3,0.00,0.00,0.00,0.00,1500.00
66,Festival,Coachella 2,10/21/2025,9:00 AM,3350.0,2150.0,1900.0,1250.0,500.0,San Jacinto Plaza,0,Open Air,15000,111208.13,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,1,3,18,0.00,0.00,1900.00,3750.00,9000.00
67,Festival,ACL,5/2/2026,9:00 AM,335.0,215.0,190.0,125.0,50.0,San Jacinto Plaza,0,Open Air,15000,105039.88,45.0,20.0,15.0,10.0,5.0,5,Yes,15000.0,8,9,15,24,6,2680.00,1935.00,2850.00,3000.00,300.00
68,Festival,Minerpalooza,11/1/2025,6:00 PM,0.0,0.0,0.0,0.0,0.0,Centenial Plaza,0,Open Air,5000,38430.00,45.0,20.0,15.0,10.0,5.0,5,No,0,88,104,61,80,101,0.00,0.00,0.00,0.00,0.00
69,Festival,UTEP Commencement 1,12/16/2025,9:00 AM,0.0,0.0,0.0,0.0,0.0,Don Haskins Center,0,Arena,12800,130712.50,45.0,20.0,15.0,10.0,5.0,5,No,0,90,84,80,99,83,0.00,0.00,0.00,0.00,0.00
70,Festival,UTEP Commencement 2,1/8/2026,2:00 PM,0.0,0.0,0.0,0.0,0.0,Don Haskins Center,0,Arena,12800,127110.00,45.0,20.0,15.0,10.0,5.0,5,No,0,65,125,91,105,80,0.00,0.00,0.00,0.00,0.00
71,Festival,UTEP Commencement 3,12/22/2025,7:00 PM,0.0,0.0,0.0,0.0,0.0,Don Haskins Center,0,Arena,12800,126422.50,45.0,20.0,15.0,10.0,5.0,5,No,0,102,113,111,84,108,0.00,0.00,0.00,0.00,0.00
72,Festival,UTEP Commencement 3,11/28/2025,2:00 PM,0.0,0.0,0.0,0.0,0.0,Don Haskins Center,0,Arena,12800,128455.00,45.0,20.0,15.0,10.0,5.0,5,No,0,102,75,71,73,114,0.00,0.00,0.00,0.00,0.00
74,Festival,ACL 2,4/13/2026,9:00 AM,12321.0,3234.0,100.0,10.0,5.0,San Jacinto Plaza,0,Open Air,150000,339258.00,45.0,20.0,15.0,10.0,5.0,5,Yes,10000.0,0,0,9,30,14,0.00,0.00,900.00,300.00,70.00
75,Festival,EDC,5/11/2026,8:00 PM,6343.0,355.0,120.0,100.0,15.0,San Jacinto Plaza,0,Open Air,200000,386654.31,45.0,20.0,15.0,10.0,5.0,5,Yes,10000.0,0,8,14,14,27,0.00,2840.00,1680.00,1400.00,405.00
76,Festival,Lollapallooza,5/11/2026,8:00 PM,3542.0,543.0,120.0,100.0,15.0,San Jacinto Plaza,0,Open Air,34234,-69647.24,45.0,20.0,15.0,10.0,5.0,5,No,0,1,4,6,19,19,3542.00,2172.00,720.00,1900.00,285.00
77,Concert,UTEP Symphony Spring Concert,4/10/2026,7:00 PM,38.5,25.75,20.0,12.5,6.0,Magoffin Auditorium,0,Auditorium,1152,-59350.98,45.0,20.0,15.0,10.0,5.0,5,No,0,36,26,7,31,36,1386.00,669.50,140.00,387.50,216.00
78,Sport,UTEP Miners vs. NMSU Aggies (Football),9/12/2026,6:30 PM,98.5,75.0,58.75,42.0,25.0,Sun Bowl Stadium,0,Stadium,64000,1932628.98,45.0,20.0,15.0,10.0,5.0,5,Yes,1248692.0,9,23,13,21,17,886.50,1725.00,763.75,882.00,425.00
79,Concert,Gloria Trevi Live in El Paso,10/15/2026,8:00 PM,625.75,415.25,350.0,225.5,90.25,Don Haskins Center,0,Arena,14000,-11773.48,45.0,20.0,15.0,10.0,5.0,5,No,0,1,16,13,14,19,625.75,6644.00,4550.00,3157.00,1714.75
80,Festival,UTEP Spring Music Fest,4/20/2026,12:00 PM,210.0,175.0,145.0,95.0,55.0,Glory Field,0,Field,10000,-8168.06,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,4,10,22,32,22,840.00,1750.00,3190.00,3040.00,1210.00
81,Concert,UTEP Jazz Ensemble Night,3/25/2026,7:30 PM,40.0,25.0,20.0,15.0,10.0,Magoffin Auditorium,0,Auditorium,1152,-48241.31,45.0,20.0,15.0,10.0,5.0,5,No,0,24,32,27,33,20,960.00,800.00,540.00,495.00,200.00
82,Sport,UTEP Miners vs. North Texas (Basketball),2/17/2026,7:00 PM,115.0,85.0,65.0,45.0,25.0,Don Haskins Center,0,Arena,14000,74899.13,45.0,20.0,15.0,10.0,5.0,5,No,0,9,18,22,16,38,1035.00,1530.00,1430.00,720.00,950.00
83,Festival,UTEP Fiesta Latina,5/5/2026,2:00 PM,180.0,140.0,115.0,75.0,40.0,Glory Field,0,Field,10000,21917.63,45.0,20.0,15.0,10.0,5.0,5,No,0,9,16,19,17,14,1620.00,2240.00,2185.00,1275.00,560.00
84,Concert,Miner Choir Holiday Gala,12/2/2026,6:00 PM,32.0,24.0,18.0,12.0,8.0,Magoffin Auditorium,0,Auditorium,1152,-25316.35,45.0,20.0,15.0,10.0,5.0,5,No,0,24,30,13,16,18,768.00,720.00,234.00,192.00,144.00
85,Sport,UTEP Miners vs. UTSA (Football),10/10/2026,7:00 PM,125.0,95.0,70.0,55.0,30.0,Sun Bowl Stadium,0,Stadium,64000,668973.31,45.0,20.0,15.0,10.0,5.0,5,No,0,8,18,21,22,15,1000.00,1710.00,1470.00,1210.00,450.00
86,Concert,Los Ángeles Azules en Concierto,9/18/2026,8:00 PM,685.0,455.0,325.0,215.0,95.0,Don Haskins Center,0,Arena,14000,83168.31,45.0,20.0,15.0,10.0,5.0,5,No,0,4,9,7,8,13,2740.00,4095.00,2275.00,1720.00,1235.00
87,Festival,Miner Food & Brew Festival,8/15/2026,1:00 PM,150.0,120.0,95.0,70.0,40.0,Foster Stevens Center,0,Outdoor,8000,-80973.56,45.0,20.0,15.0,10.0,5.0,5,No,0,28,15,13,12,34,4200.00,1800.00,1235.00,840.00,1360.00
88,Concert,Coldplay: Viva La Vida Tour,8/25/2026,8:00 PM,5575.0,3650.0,3200.0,2100.0,850.0,Sun Bowl Stadium,0,Stadium,64000,746828.75,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,0,0,0,0,4,0.00,0.00,0.00,0.00,3400.00
89,Sport,UTEP Miners Volleyball vs. Rice,11/8/2026,5:00 PM,45.0,35.0,25.0,18.0,10.0,Foster Stevens Center,0,Arena,8000,39843.00,45.0,20.0,15.0,10.0,5.0,5,No,0,22,30,9,15,27,990.00,1050.00,225.00,270.00,270.00
90,Festival,UTEP Cultural Arts Festival,3/8/2026,10:00 AM,90.0,70.0,55.0,40.0,25.0,Glory Field,0,Field,10000,42131.19,45.0,20.0,15.0,10.0,5.0,5,No,0,13,21,19,14,21,1170.00,1470.00,1045.00,560.00,525.00
91,Concert,Bruno Mars 24K Magic Live,7/12/2026,8:00 PM,5900.0,4000.0,3400.0,2200.0,875.0,Don Haskins Center,0,Arena,14000,160953.75,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,0,0,0,0,4,0.00,0.00,0.00,0.00,3500.00
92,Sport,UTEP Miners vs. SMU (Football),9/5/2026,6:30 PM,110.0,85.0,60.0,45.0,25.0,Sun Bowl Stadium,0,Stadium,64000,621859.19,45.0,20.0,15.0,10.0,5.0,5,No,0,25,15,31,26,23,2750.00,1275.00,1860.00,1170.00,575.00
93,Festival,Miner Fest 2026,4/27/2026,1:00 PM,175.0,140.0,115.0,85.0,50.0,Glory Field,0,Field,10000,-7359.81,45.0,20.0,15.0,10.0,5.0,5,No,0,13,20,10,26,21,2275.00,2800.00,1150.00,2210.00,1050.00
94,Concert,Post Malone World Tour,6/20/2026,8:30 PM,5125.0,3420.0,2950.0,1925.0,780.0,Sun Bowl Stadium,0,Stadium,64000,721878.44,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,1,1,0,0,6,5125.00,3420.00,0.00,0.00,4680.00
95,Sport,UTEP Miners vs. Louisiana Tech (Basketball),1/28/2026,7:00 PM,120.0,95.0,70.0,50.0,30.0,Don Haskins Center,0,Arena,14000,47653.75,45.0,20.0,15.0,10.0,5.0,5,No,0,14,12,19,25,31,1680.00,1140.00,1330.00,1250.00,930.00
96,Festival,UTEP Miner Pride Week,10/3/2026,11:00 AM,80.0,65.0,50.0,35.0,20.0,Glory Field,0,Field,10000,40149.50,45.0,20.0,15.0,10.0,5.0,5,No,0,19,12,20,26,24,1520.00,780.00,1000.00,910.00,480.00
97,Concert,Grupo Frontera Tour 2026,7/22/2026,8:00 PM,4900.0,3250.0,2800.0,1850.0,750.0,Don Haskins Center,0,Arena,14000,164500.00,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
98,Sport,UTEP Miners vs. FIU (Football),10/31/2026,7:00 PM,105.0,80.0,60.0,40.0,25.0,Sun Bowl Stadium,0,Stadium,64000,668080.25,45.0,20.0,15.0,10.0,5.0,5,No,0,15,14,27,14,28,1575.00,1120.00,1620.00,560.00,700.00
99,Concert,Ed Sheeran Mathematics Tour,8/8/2026,8:00 PM,5800.0,3750.0,3300.0,2100.0,850.0,Sun Bowl Stadium,0,Stadium,64000,740088.13,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,0,1,0,1,1,0.00,3750.00,0.00,2100.00,850.00
100,Festival,UTEP Miner Cook-Off,9/20/2026,12:00 PM,125.0,100.0,80.0,60.0,35.0,Foster Stevens Center,0,Outdoor,8000,-5717.25,45.0,20.0,15.0,10.0,5.0,5,No,0,21,15,32,4,12,2625.00,1500.00,2560.00,240.00,420.00
